data/mcs-instances/mcs50/rand/r01/mcs50_r01_s15.A79 data/mcs-instances/mcs50/rand/r01/mcs50_r01_s15.B79,32,1,7
data/mcs-instances/mcs90/bvg/b06/mcs90_b06_s15.A81 data/mcs-instances/mcs90/bvg/b06/mcs90_b06_s15.B81,4,0,13
data/mcs-instances/mcs70/bvg/b03m/mcs70_b03m_s10.A10 data/mcs-instances/mcs70/bvg/b03m/mcs70_b03m_s10.B10,8,0,7
data/mcs-instances/mcs90/rand/r01/mcs90_r01_s20.A53 data/mcs-instances/mcs90/rand/r01/mcs90_r01_s20.B53,3,0,18
data/mcs-instances/mcs90/m2D/m2Dr4/mcs90_m2Dr4_s10.A39 data/mcs-instances/mcs90/m2D/m2Dr4/mcs90_m2Dr4_s10.B39,3,0,9
data/mcs-instances/mcs70/rand/r02/mcs70_r02_s10.A79 data/mcs-instances/mcs70/rand/r02/mcs70_r02_s10.B79,9,0,7
data/mcs-instances/mcs10/rand/r02/mcs10_r02_s20.A26 data/mcs-instances/mcs10/rand/r02/mcs10_r02_s20.B26,36,0,6
data/mcs-instances/mcs50/bvg/b09/mcs50_b09_s20.A39 data/mcs-instances/mcs50/bvg/b09/mcs50_b09_s20.B39,26,0,10
data/mcs-instances/mcs50/m2D/m2D/mcs50_m2D_s20.A42 data/mcs-instances/mcs50/m2D/m2D/mcs50_m2D_s20.B42,15,0,10
data/mcs-instances/mcs30/bvg/b03/mcs30_b03_s20.A06 data/mcs-instances/mcs30/bvg/b03/mcs30_b03_s20.B06,21,0,8
data/mcs-instances/mcs70/rand/r02/mcs70_r02_s25.A61 data/mcs-instances/mcs70/rand/r02/mcs70_r02_s25.B61,34,1,14
data/mcs-instances/mcs50/bvg/b09/mcs50_b09_s25.A77 data/mcs-instances/mcs50/bvg/b09/mcs50_b09_s25.B77,45,1,12
data/mcs-instances/mcs50/bvg/b09m/mcs50_b09m_s25.A61 data/mcs-instances/mcs50/bvg/b09m/mcs50_b09m_s25.B61,53,1,9
data/mcs-instances/mcs90/rand/r02/mcs90_r02_s40.A93 data/mcs-instances/mcs90/rand/r02/mcs90_r02_s40.B93,21,2,30
data/mcs-instances/mcs50/rand/r01/mcs50_r01_s20.A22 data/mcs-instances/mcs50/rand/r01/mcs50_r01_s20.B22,26,0,10
data/mcs-instances/mcs70/bvg/b09/mcs70_b09_s30.A17 data/mcs-instances/mcs70/bvg/b09/mcs70_b09_s30.B17,31,1,20
data/mcs-instances/mcs90/bvg/b06m/mcs90_b06m_s10.A90 data/mcs-instances/mcs90/bvg/b06m/mcs90_b06m_s10.B90,8,0,7
data/mcs-instances/mcs30/bvg/b06m/mcs30_b06m_s25.A39 data/mcs-instances/mcs30/bvg/b06m/mcs30_b06m_s25.B39,44,1,9
data/mcs-instances/mcs70/m4D/m4Dr6/mcs70_m4Dr6_s25.A09 data/mcs-instances/mcs70/m4D/m4Dr6/mcs70_m4Dr6_s25.B09,14,0,16
data/mcs-instances/mcs90/bvg/b03m/mcs90_b03m_s20.A32 data/mcs-instances/mcs90/bvg/b03m/mcs90_b03m_s20.B32,4,0,18
data/mcs-instances/mcs30/rand/r02/mcs30_r02_s20.A50 data/mcs-instances/mcs30/rand/r02/mcs30_r02_s20.B50,50,1,6
data/mcs-instances/mcs50/m3D/m3Dr6/mcs50_m3Dr6_s15.A48 data/mcs-instances/mcs50/m3D/m3Dr6/mcs50_m3Dr6_s15.B48,25,0,8
data/mcs-instances/mcs30/m3D/m3Dr6/mcs30_m3Dr6_s25.A76 data/mcs-instances/mcs30/m3D/m3Dr6/mcs30_m3Dr6_s25.B76,45,2,10
data/mcs-instances/mcs70/bvg/b06m/mcs70_b06m_s30.A15 data/mcs-instances/mcs70/bvg/b06m/mcs70_b06m_s30.B15,34,3,20
data/mcs-instances/mcs70/rand/r02/mcs70_r02_s40.A82 data/mcs-instances/mcs70/rand/r02/mcs70_r02_s40.B82,40,1,24
data/mcs-instances/mcs90/rand/r02/mcs90_r02_s50.A08 data/mcs-instances/mcs90/rand/r02/mcs90_r02_s50.B08,29,3,37
data/mcs-instances/mcs70/rand/r01/mcs70_r01_s25.A66 data/mcs-instances/mcs70/rand/r01/mcs70_r01_s25.B66,21,2,17
data/mcs-instances/mcs50/m3D/m3Dr2/mcs50_m3Dr2_s15.A21 data/mcs-instances/mcs50/m3D/m3Dr2/mcs50_m3Dr2_s15.B21,21,0,8
data/mcs-instances/mcs50/m3D/m3Dr4/mcs50_m3Dr4_s15.A02 data/mcs-instances/mcs50/m3D/m3Dr4/mcs50_m3Dr4_s15.B02,28,0,8
data/mcs-instances/mcs70/rand/r02/mcs70_r02_s25.A33 data/mcs-instances/mcs70/rand/r02/mcs70_r02_s25.B33,29,0,15
data/mcs-instances/mcs50/m4D/m4Dr4/mcs50_m4Dr4_s30.A29 data/mcs-instances/mcs50/m4D/m4Dr4/mcs50_m4Dr4_s30.B29,39,5,17
data/mcs-instances/mcs90/bvg/b03/mcs90_b03_s30.A06 data/mcs-instances/mcs90/bvg/b03/mcs90_b03_s30.B06,7,1,26
